holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity,dayoff,sandwich,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,spring,summer,fall,winter,event
0,0,0,0,0,1,0,0,0,0.23023255813953486,0.0,0.2520547945205479,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,1,0,0,0.24651162790697673,0.0,0.23287671232876717,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,1,0,0.2511627906976744,0.0,0.40273972602739727,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,0,1,0.2813953488372093,0.0,0.4547945205479452,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.313953488372093,0.0,0.3890410958904109,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.33255813953488367,0.0,0.3849315068493151,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,1,0,0,0,0,0.3069767441860465,0.0,0.3972602739726028,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,1,0,0,0,0.34651162790697676,0.004959422903516682,0.410958904109589,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,1,0,0,0.33255813953488367,0.013525698827772768,0.8041095890410959,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,1,0,0.28604651162790695,0.0,0.810958904109589,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,0,1,0.3093023255813953,0.0,0.7520547945205478,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.4116279069767442,0.0,0.5191780821917807,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.3209302325581395,0.0,0.3917808219178083,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,1,0,0,0,0,0.3441860465116279,0.0,0.4273972602739726,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,1,0,0,0,0.327906976744186,0.0,0.536986301369863,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,1,0,0,0.36279069767441857,0.0,0.36438356164383556,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,1,0,0.413953488372093,0.003606853020739405,0.4273972602739726,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,0,1,0.34883720930232553,0.002254283137962128,0.4821917808219178,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.2627906976744186,0.0,0.26027397260273977,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.2395348837209302,0.0,0.1534246575342466,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,1,0,0,0,0,0.313953488372093,0.0,0.3356164383561644,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,1,0,0,0,0.3441860465116279,0.0,0.3287671232876712,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,1,0,0,0.33255813953488367,0.0,0.3410958904109589,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,1,0,0.2813953488372093,0.0,0.23424657534246573,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,1,0,0,0,0,0,0,1,0.3093023255813953,0.0,0.17260273972602747,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,1,0,0,0,0,0,0,0.3674418604651163,0.0,0.1931506849315069,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,1,0,0,0,0,0,0.39999999999999997,0.0,0.40958904109589034,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1,0,0,0,1,0,0,0,0,0.41860465116279066,0.0,0.3849315068493151,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.3186046511627907,0.0,0.02054794520547948,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.36279069767441857,0.0,0.29452054794520544,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.413953488372093,0.0,0.3958904109589041,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.44883720930232557,0.0,0.22739726027397267,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.45813953488372094,0.0,0.19452054794520546,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.541860465116279,0.0,0.23561643835616441,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.6023255813953488,0.0,0.14383561643835618,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
