holiday,weekend,temperature,humidity,target,rain,mon,tue,wed,thur,fri,sat,sun
0,1,15.1,35.8,2418,0,False,False,False,False,True,False,False
0,1,12.5,74.5,2592,1,False,False,False,False,False,True,False
0,1,10.9,64.5,5282,0,False,False,False,False,False,False,True
0,1,13.6,51.3,2563,0,True,False,False,False,False,False,False
0,1,13.8,78.3,701,1,False,True,False,False,False,False,False
0,1,20.2,65.0,3368,0,False,False,True,False,False,False,False
0,1,19.9,69.5,4016,0,False,False,False,True,False,False,False
0,1,17.5,61.0,5205,0,False,False,False,False,True,False,False
0,1,16.2,30.4,8324,0,False,False,False,False,False,True,False
0,1,15.9,36.4,5342,0,False,False,False,False,False,False,True
0,1,15.0,41.9,2269,0,True,False,False,False,False,False,False
0,1,9.3,74.6,1367,1,False,True,False,False,False,False,False
0,1,9.5,66.8,3412,0,False,False,True,False,False,False,False
0,1,12.7,51.5,6257,0,False,False,False,True,False,False,False
0,1,16.2,53.6,5822,0,False,False,False,False,True,False,False
0,1,14.0,81.0,1231,1,False,False,False,False,False,True,False
0,1,13.5,57.4,11765,0,False,False,False,False,False,False,True
0,1,14.7,49.6,11328,0,True,False,False,False,False,False,False
0,1,17.0,42.1,2313,0,False,True,False,False,False,False,False
0,1,19.1,46.4,2954,0,False,False,True,False,False,False,False
0,1,20.1,63.0,7327,1,False,False,False,True,False,False,False
1,1,19.0,92.6,697,1,False,False,False,False,True,False,False
0,1,15.1,89.3,766,1,False,False,False,False,False,True,False
0,1,12.0,66.5,2698,1,False,False,False,False,False,False,True
0,1,13.7,59.3,1664,0,True,False,False,False,False,False,False
0,1,16.5,54.8,2175,0,False,True,False,False,False,False,False
0,1,17.3,51.9,3337,0,False,False,True,False,False,False,False
0,1,18.9,45.0,2231,0,False,False,False,True,False,False,False
0,1,18.5,46.4,5363,0,False,False,False,False,True,False,False
0,1,18.2,54.3,9643,0,False,False,False,False,False,True,False
0,1,17.8,51.3,6823,0,False,False,False,False,False,False,True
0,1,20.5,50.9,1385,0,True,False,False,False,False,False,False
0,1,23.5,41.9,1611,0,False,True,False,False,False,False,False
0,1,23.6,44.8,2084,0,False,False,True,False,False,False,False
0,1,19.2,68.0,1810,0,False,False,False,True,False,False,False
0,1,20.8,61.9,3749,0,False,False,False,False,True,False,False
0,1,20.6,66.6,8572,0,False,False,False,False,False,True,False
0,1,18.3,69.1,5741,0,False,False,False,False,False,False,True
0,1,17.5,67.8,785,1,True,False,False,False,False,False,False
0,1,18.5,62.5,1398,0,False,True,False,False,False,False,False
0,1,19.9,54.8,1082,0,False,False,True,False,False,False,False
0,1,21.3,45.0,1796,0,False,False,False,True,False,False,False
0,1,21.8,52.9,2939,0,False,False,False,False,True,False,False
1,1,20.8,79.0,8312,1,False,False,False,False,False,True,False
0,1,20.2,91.8,852,1,False,False,False,False,False,False,True
1,1,20.4,89.3,1005,1,True,False,False,False,False,False,False
0,1,21.6,73.0,786,0,False,True,False,False,False,False,False
0,1,22.3,53.6,1102,0,False,False,True,False,False,False,False
0,1,22.4,63.9,1476,0,False,False,False,True,False,False,False
0,1,21.9,67.8,1604,0,False,False,False,False,True,False,False
0,1,21.9,51.6,8655,0,False,False,False,False,False,True,False
0,1,22.6,50.1,8697,0,False,False,False,False,False,False,True
0,1,21.5,59.3,6034,0,True,False,False,False,False,False,False
1,1,21.4,62.1,7563,0,False,True,False,False,False,False,False
0,1,21.7,68.0,728,0,False,False,True,False,False,False,False
0,1,22.3,69.6,781,1,False,False,False,True,False,False,False
0,1,23.2,56.8,1049,1,False,False,False,False,True,False,False
0,1,23.3,63.1,3946,1,False,False,False,False,False,True,False
0,1,23.5,67.5,3240,0,False,False,False,False,False,False,True
0,1,23.3,65.0,641,0,True,False,False,False,False,False,False
0,1,22.8,64.0,752,0,False,True,False,False,False,False,False
0,1,22.6,60.8,820,0,False,False,True,False,False,False,False
0,1,22.3,63.9,948,0,False,False,False,True,False,False,False
0,1,24.4,57.3,1243,0,False,False,False,False,True,False,False
0,1,25.0,54.3,5801,0,False,False,False,False,False,True,False
0,1,26.1,50.4,2842,0,False,False,False,False,False,False,True
0,1,27.0,51.6,333,0,True,False,False,False,False,False,False
0,1,23.7,61.0,556,1,False,True,False,False,False,False,False
0,1,21.3,87.1,153,1,False,False,True,False,False,False,False
0,1,22.9,69.3,476,0,False,False,False,True,False,False,False
0,1,25.7,61.3,752,0,False,False,False,False,True,False,False
0,1,27.1,59.9,5164,0,False,False,False,False,False,True,False
0,1,26.7,58.0,2484,0,False,False,False,False,False,False,True
0,1,23.8,89.8,37,1,True,False,False,False,False,False,False
0,1,26.1,70.8,339,1,False,True,False,False,False,False,False
0,1,24.1,78.8,304,1,False,False,True,False,False,False,False
0,1,24.6,88.1,47,1,False,False,False,True,False,False,False
0,1,24.2,90.5,141,1,False,False,False,False,True,False,False
0,1,27.3,75.6,3265,0,False,False,False,False,False,True,False
0,1,27.5,73.5,1910,0,False,False,False,False,False,False,True
0,1,28.4,71.0,221,0,True,False,False,False,False,False,False
0,1,24.7,87.3,22,1,False,True,False,False,False,False,False
0,1,24.3,77.8,270,1,False,False,True,False,False,False,False
0,1,26.4,59.8,496,0,False,False,False,True,False,False,False
0,1,21.6,87.6,132,1,False,False,False,False,True,False,False
0,1,23.9,85.6,2625,1,False,False,False,False,False,True,False
0,1,26.4,81.6,1412,1,False,False,False,False,False,False,True
0,1,26.5,74.8,206,1,True,False,False,False,False,False,False
0,1,23.6,89.0,57,1,False,True,False,False,False,False,False
0,1,26.7,81.4,166,1,False,False,True,False,False,False,False
0,1,25.2,90.0,30,1,False,False,False,True,False,False,False
0,1,24.2,94.5,4,1,False,False,False,False,True,False,False
0,1,23.2,93.0,42,1,False,False,False,False,False,True,False
0,1,24.3,88.5,417,1,False,False,False,False,False,False,True
0,1,25.4,87.0,164,1,True,False,False,False,False,False,False
0,1,23.0,94.4,15,1,False,True,False,False,False,False,False
0,1,26.0,78.0,282,0,False,False,True,False,False,False,False
0,1,26.8,75.8,676,0,False,False,False,True,False,False,False
0,1,27.6,75.0,319,0,False,False,False,False,True,False,False
0,1,25.3,78.4,1630,1,False,False,False,False,False,True,False
0,1,24.8,89.4,345,1,False,False,False,False,False,False,True
0,1,26.1,82.3,520,1,True,False,False,False,False,False,False
0,1,25.1,88.0,427,1,False,True,False,False,False,False,False
0,1,25.9,83.8,808,1,False,False,True,False,False,False,False
0,1,27.5,76.8,1029,1,False,False,False,True,False,False,False
0,1,28.4,76.1,1113,1,False,False,False,False,True,False,False
0,1,29.5,70.3,3454,0,False,False,False,False,False,True,False
0,1,27.4,80.3,1727,1,False,False,False,False,False,False,True
0,1,27.8,77.4,1640,0,True,False,False,False,False,False,False
0,1,29.5,70.4,1349,0,False,True,False,False,False,False,False
0,1,29.1,72.6,1228,0,False,False,True,False,False,False,False
0,1,29.2,67.5,1061,0,False,False,False,True,False,False,False
0,1,29.6,70.3,1091,0,False,False,False,False,True,False,False
0,1,30.0,67.1,3074,0,False,False,False,False,False,True,False
0,1,29.5,71.4,1420,1,False,False,False,False,False,False,True
0,1,29.7,70.4,376,0,True,False,False,False,False,False,False
0,1,30.1,66.6,381,0,False,True,False,False,False,False,False
0,1,26.4,79.5,1583,1,False,False,True,False,False,False,False
