content,sdate,edate,place
시민과 함께하는 한밭대금,2026-03-14,2026-03-14,111
국가 추진사업 홍보 ,2026-03-16,2026-04-15,109
장애인식개선 거리캠페인,2026-03-16,2026-03-27,109
"정신건강 인식개선 캠페인 ‘정신건강, 유레카’",2026-03-18,2026-03-18,116
2026년 찾아가는 일자리발굴단 이동상담소,2026-03-31,2026-03-31,116
시민과 함께하는 한밭대금,2026-04-11,2026-04-11,111
2026년 찾아가는 일자리발굴단 이동상담소,2026-04-21,2026-04-21,122
"정신건강 인식개선 캠페인 ‘정신건강, 유레카’",2026-04-22,2026-04-22,120
산업재해노동자의 날 기념 캠페인,2026-04-28,2026-04-28,110
시민과 함께하는 한밭대금,2026-05-09,2026-05-09,111
장애작가 작품 전시회,2026-05-11,2026-05-22,111
5월「가정의 달」칭찬·감사 캠페인,2026-05-11,2026-05-11,111
호스피스전문기관 연합 통증캠페인,2026-05-15,2026-05-15,111
수정시낭송아카데미 시낭송 버스킹공연,2026-05-17,2026-05-17,111
5월「가정의 달」칭찬·감사 캠페인,2026-05-18,2026-05-18,104
2026년 찾아가는 일자리발굴단 이동상담소,2026-05-19,2026-05-19,116
의약품안전지킴이 오프라인 홍보 행사,2026-05-20,2026-05-20,104
사전연명의료의향서홍보,2026-05-22,2026-05-22,111
의약품안전지킴이 오프라인 홍보 행사,2026-06-05,2026-06-05,104
의약품안전지킴이 오프라인 홍보 행사,2026-06-05,2026-06-05,104
2026년 구강보건의 날 합동캠페인,2026-06-11,2026-06-11,111
시민과 함께하는 한밭대금,2026-06-13,2026-06-13,111
버스킹,2026-06-13,2026-06-13,111
장애인식개선 거리캠페인,2026-06-15,2026-06-26,103
치매인식개선 캠페인,2026-06-15,2026-06-15,104
기타 연주 버스킹,2026-06-20,2026-06-27,111
디지털성범죄 예방 및 근절캠페인,2026-06-23,2026-06-23,111
정신건강 인식개선 캠페인,2026-06-24,2026-06-24,122
색소폰연주,2026-06-29,2026-06-29,111
버스킹,2026-07-04,2026-07-25,111
시민과 함께하는 한밭대금,2026-07-11,2026-07-11,111
동구행복한어르신복지관 홍보데이,2026-07-14,2026-07-14,101
복지사각지대 발굴 캠페인,2026-07-15,2026-07-15,110
들썩들썩인대전,2026-07-18,2026-08-29,104
들썩들썩 인 대전,2026-07-18,2026-07-18,109
들썩들썩 인 대전 ,2026-07-22,2026-07-22,111
들썩들썩 인 대전,2026-07-25,2026-08-29,109
대전 소재 대학교 문학 동아리 연합 시화전,2026-07-25,2026-07-28,111
탄소중립 및 교통안전 캠페인,2026-07-27,2026-07-27,103
고독사 예방 캠페인 ,2026-07-30,2026-07-30,101
힐링뮤직,2026-08-01,2026-08-29,111
중독예방 캠페인,2026-08-07,2026-08-07,122
시민과 함께하는 한밭대금,2026-08-08,2026-08-08,111
정원유치원그림전시회,2026-08-10,2026-08-24,120
제13회 대전장애인 백일장 및 사생대회 ,2026-08-10,2026-08-14,112
제13회 대전장애인백일장 및 사생대회,2026-08-10,2026-08-14,112
