content,sdate,edate,place
테스트,2023-09-25,2023-09-26,122
기상청 달콤기후 공모전 수상작 전시회,2023-10-02,2023-10-12,111
백제문화제재단 사진전,2023-10-02,2023-10-09,120
대전문화재단 시화순회전시,2023-10-04,2023-10-13,107
2023년 임산부의 날 캠페인,2023-10-06,2023-10-06,116
아동학대예방캠페인,2023-10-06,2023-10-06,103
교통문화운동 온라인 그림그리기 대회 수상작 전시,2023-10-11,2023-10-17,107
대전문화재단 시화순회전시,2023-10-13,2023-10-27,111
장애인식개선 캠페인,2023-10-13,2023-10-30,112
바이올린 1인 버스킹 공연,2023-10-14,2023-10-14,122
포특사,2023-10-16,2023-10-20,111
2023년 대장암 검진 수검독려 캠페인,2023-10-16,2023-10-16,116
손위생 캠페인,2023-10-17,2023-10-17,107
2023년 교통문화운동 온라인 그림대회 수상작품 전시,2023-10-18,2023-10-24,111
2023년 찾아가는 일자리 이동상담소,2023-10-18,2023-10-18,116
2023년 찾아가는 일자리 이동상담소,2023-10-18,2023-10-18,116
청년장애인웹툰아카데미 작품 전시회,2023-10-23,2023-10-27,121
사전연명의료 관련 교육 봉사활동,2023-10-25,2023-10-25,109
대전문화재단 시화순회전시,2023-10-27,2023-11-10,116
2023년 지역아동 특기적성 성장발표회,2023-11-01,2023-11-08,111
월간사진회 사진 전시회,2023-11-01,2023-11-06,104
한밭사우회 사진전,2023-11-07,2023-11-14,104
(굿모닝충청) 교통안전 관련 사진 전시,2023-11-10,2023-11-17,107
소비자 정보 전시회,2023-11-11,2023-11-18,111
소방안전문화 캠페인,2023-11-13,2023-11-17,120
제24회 대전장애인문화예술 및 자활실천대회,2023-11-15,2023-11-17,104
2023년 찾아가는 일자리 이동상담소,2023-11-15,2023-11-15,116
문예마을 시화전,2023-11-18,2023-12-09,104
예담프로젝트 전시회,2023-11-21,2023-11-27,116
불조심 강조의달 화재예방 캠페인,2023-11-21,2023-11-24,113
불조심 강조의 달 맞이 화재예방 전시회,2023-11-21,2023-11-24,113
권익옹호 캠페인,2023-11-21,2023-11-21,116
대전도시철도와 함께하는 중구 문화공연 안내,2023-11-22,2024-01-07,105
크리스마스트리 설치,2023-11-24,2024-01-07,120
장애인식개선사업 캠페인,2023-11-27,2023-12-01,107
2023년 여성폭력추방주간 합동캠페인,2023-11-28,2023-11-28,114
성탄트리장식,2023-11-28,2024-01-04,117
성탄트리장식,2023-11-28,2024-01-04,118
2023년 여성폭력추방주간 합동캠페인,2023-11-28,2023-11-28,116
2023년 여성폭력추방주간 합동캠페인,2023-11-28,2023-11-28,107
성탄트리장식,2023-11-28,2024-01-04,117
성탄트리장식,2023-11-28,2024-01-04,118
2023년 여성폭력추방주간 합동캠페인,2023-11-28,2023-11-28,104
트리설치,2023-11-28,2024-01-09,111
구세군 불우 이웃돕기 자선냄비 설치,2023-12-01,2023-12-24,111
2023년 여성폭력추방주간 캠페인,2023-12-01,2023-12-01,101
성탄절 크리마스 트리 설치,2023-12-02,2024-01-07,114
트리설치,2023-12-03,2024-01-09,122
트리설치,2023-12-03,2024-01-09,121
크리스마스트리 설치,2023-12-03,2024-01-06,101
희망2024나눔캠페인 소형온도탑,2023-12-07,2024-01-31,107
나愛서화,2023-12-10,2023-12-18,104
