holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity
1,1,0,0,0,0,0,1,0,12.5,13.2,74.5
1,1,0,0,0,0,0,0,1,10.9,0.0,64.5
0,0,1,0,0,0,0,0,0,13.6,0.0,51.3
0,0,0,1,0,0,0,0,0,13.8,1.3,78.3
0,0,0,0,1,0,0,0,0,20.2,0.0,65.0
0,0,0,0,0,1,0,0,0,19.9,0.0,69.5
0,0,0,0,0,0,1,0,0,17.5,0.0,61.0
1,1,0,0,0,0,0,1,0,16.2,0.0,30.4
1,1,0,0,0,0,0,0,1,15.9,0.0,36.4
0,0,1,0,0,0,0,0,0,15.0,0.0,41.9
0,0,0,1,0,0,0,0,0,9.3,1.8,74.6
0,0,0,0,1,0,0,0,0,9.5,0.0,66.8
0,0,0,0,0,1,0,0,0,12.7,0.0,51.5
0,0,0,0,0,0,1,0,0,16.2,0.0,53.6
1,1,0,0,0,0,0,1,0,14.0,7.6,81.0
1,1,0,0,0,0,0,0,1,13.5,0.0,57.4
1,0,1,0,0,0,0,0,0,14.7,0.0,49.6
0,0,0,1,0,0,0,0,0,17.0,0.0,42.1
0,0,0,0,1,0,0,0,0,19.1,0.0,46.4
0,0,0,0,0,1,0,0,0,20.1,1.8,63.0
1,0,0,0,0,0,1,0,0,19.0,83.3,92.6
1,1,0,0,0,0,0,1,0,15.1,38.6,89.3
1,1,0,0,0,0,0,0,1,12.0,0.2,66.5
0,0,1,0,0,0,0,0,0,13.7,0.0,59.3
0,0,0,1,0,0,0,0,0,16.5,0.0,54.8
0,0,0,0,1,0,0,0,0,17.3,0.0,51.9
0,0,0,0,0,1,0,0,0,18.9,0.0,45.0
0,0,0,0,0,0,1,0,0,18.5,0.0,46.4
1,1,0,0,0,0,0,1,0,18.2,0.0,54.3
1,1,0,0,0,0,0,0,1,17.8,0.0,51.3
0,0,1,0,0,0,0,0,0,20.5,0.0,50.9
0,0,0,1,0,0,0,0,0,23.5,0.0,41.9
0,0,0,0,1,0,0,0,0,23.6,0.0,44.8
0,0,0,0,0,1,0,0,0,19.2,0.0,68.0
0,0,0,0,0,0,1,0,0,20.8,0.0,61.9
1,1,0,0,0,0,0,1,0,20.6,0.0,66.6
1,1,0,0,0,0,0,0,1,18.3,0.0,69.1
0,0,1,0,0,0,0,0,0,17.5,5.7,67.8
0,0,0,1,0,0,0,0,0,18.5,0.0,62.5
0,0,0,0,1,0,0,0,0,19.9,0.0,54.8
0,0,0,0,0,1,0,0,0,21.3,0.0,45.0
0,0,0,0,0,0,1,0,0,21.8,0.0,52.9
1,1,0,0,0,0,0,1,0,20.8,0.6,79.0
1,1,0,0,0,0,0,0,1,20.2,34.7,91.8
0,0,1,0,0,0,0,0,0,20.4,28.0,89.3
0,0,0,1,0,0,0,0,0,21.6,0.0,73.0
0,0,0,0,1,0,0,0,0,22.3,0.0,53.6
0,0,0,0,0,1,0,0,0,22.4,0.0,63.9
0,0,0,0,0,0,1,0,0,21.9,0.0,67.8
1,1,0,0,0,0,0,1,0,21.9,0.0,51.6
1,1,0,0,0,0,0,0,1,22.6,0.0,50.1
0,0,1,0,0,0,0,0,0,21.5,0.0,59.3
1,0,0,1,0,0,0,0,0,21.4,0.0,62.1
0,0,0,0,1,0,0,0,0,21.7,0.0,68.0
0,0,0,0,0,1,0,0,0,22.3,0.3,69.6
0,0,0,0,0,0,1,0,0,23.2,0.3,56.8
1,1,0,0,0,0,0,1,0,23.3,1.3,63.1
1,1,0,0,0,0,0,0,1,23.5,0.0,67.5
0,0,1,0,0,0,0,0,0,23.3,0.0,65.0
0,0,0,1,0,0,0,0,0,22.8,0.0,64.0
0,0,0,0,1,0,0,0,0,22.6,0.0,60.8
0,0,0,0,0,1,0,0,0,22.3,0.0,63.9
0,0,0,0,0,0,1,0,0,24.4,0.0,57.3
1,1,0,0,0,0,0,1,0,25.0,0.0,54.3
1,1,0,0,0,0,0,0,1,26.1,0.0,50.4
0,0,1,0,0,0,0,0,0,27.0,0.0,51.6
0,0,0,1,0,0,0,0,0,23.7,2.9,61.0
0,0,0,0,1,0,0,0,0,21.3,1.6,87.1
0,0,0,0,0,1,0,0,0,22.9,0.0,69.3
0,0,0,0,0,0,1,0,0,25.7,0.0,61.3
1,1,0,0,0,0,0,1,0,27.1,0.0,59.9
1,1,0,0,0,0,0,0,1,26.7,0.0,58.0
0,0,1,0,0,0,0,0,0,23.8,54.5,89.8
0,0,0,1,0,0,0,0,0,26.1,25.3,70.8
0,0,0,0,1,0,0,0,0,24.1,5.7,78.8
0,0,0,0,0,1,0,0,0,24.6,50.8,88.1
0,0,0,0,0,0,1,0,0,24.2,4.8,90.5
1,1,0,0,0,0,0,1,0,27.3,0.0,75.6
1,1,0,0,0,0,0,0,1,27.5,0.0,73.5
0,0,1,0,0,0,0,0,0,28.4,0.0,71.0
0,0,0,1,0,0,0,0,0,24.7,80.2,87.3
0,0,0,0,1,0,0,0,0,24.3,27.7,77.8
0,0,0,0,0,1,0,0,0,26.4,0.0,59.8
0,0,0,0,0,0,1,0,0,21.6,68.7,87.6
1,1,0,0,0,0,0,1,0,23.9,2.6,85.6
1,1,0,0,0,0,0,0,1,26.4,0.1,81.6
0,0,1,0,0,0,0,0,0,26.5,36.2,74.8
0,0,0,1,0,0,0,0,0,23.6,39.6,89.0
0,0,0,0,1,0,0,0,0,26.7,7.8,81.4
0,0,0,0,0,1,0,0,0,25.2,9.5,90.0
0,0,0,0,0,0,1,0,0,24.2,221.8,94.5
1,1,0,0,0,0,0,1,0,23.2,105.6,93.0
1,1,0,0,0,0,0,0,1,24.3,1.5,88.5
0,0,1,0,0,0,0,0,0,25.4,30.9,87.0
0,0,0,1,0,0,0,0,0,23.0,73.0,94.4
0,0,0,0,1,0,0,0,0,26.0,0.0,78.0
0,0,0,0,0,1,0,0,0,26.8,0.0,75.8
0,0,0,0,0,0,1,0,0,27.6,0.0,75.0
1,1,0,0,0,0,0,1,0,25.3,1.0,78.4
1,1,0,0,0,0,0,0,1,24.8,20.2,89.4
0,0,1,0,0,0,0,0,0,26.1,5.1,82.3
0,0,0,1,0,0,0,0,0,25.1,9.1,88.0
0,0,0,0,1,0,0,0,0,25.9,3.7,83.8
0,0,0,0,0,1,0,0,0,27.5,0.3,76.8
0,0,0,0,0,0,1,0,0,28.4,0.1,76.1
1,1,0,0,0,0,0,1,0,29.5,0.0,70.3
1,1,0,0,0,0,0,0,1,27.4,31.6,80.3
0,0,1,0,0,0,0,0,0,27.8,0.0,77.4
0,0,0,1,0,0,0,0,0,29.5,0.0,70.4
0,0,0,0,1,0,0,0,0,29.1,0.0,72.6
0,0,0,0,0,1,0,0,0,29.2,0.0,67.5
0,0,0,0,0,0,1,0,0,29.6,0.0,70.3
1,1,0,0,0,0,0,1,0,30.0,0.0,67.1
1,1,0,0,0,0,0,0,1,29.5,6.3,71.4
0,0,1,0,0,0,0,0,0,29.7,0.0,70.4
0,0,0,1,0,0,0,0,0,30.1,0.0,66.6
0,0,0,0,1,0,0,0,0,26.4,45.4,79.5
0,0,0,0,0,1,0,0,0,21.3,143.3,93.8
0,0,0,0,0,0,1,0,0,25.3,8.0,80.4
1,1,0,0,0,0,0,1,0,24.2,3.7,83.6
1,1,0,0,0,0,0,0,1,26.8,0.0,78.9
0,0,1,0,0,0,0,0,0,28.1,0.0,74.0
1,0,0,1,0,0,0,0,0,28.1,0.0,73.1
0,0,0,0,1,0,0,0,0,27.7,0.0,72.0
0,0,0,0,0,1,0,0,0,26.1,1.5,80.5
0,0,0,0,0,0,1,0,0,28.3,0.2,72.9
1,1,0,0,0,0,0,1,0,28.2,0.0,72.4
1,1,0,0,0,0,0,0,1,28.1,0.0,71.1
0,0,1,0,0,0,0,0,0,29.2,0.0,69.6
0,0,0,1,0,0,0,0,0,27.6,1.5,73.3
0,0,0,0,1,0,0,0,0,26.7,22.8,83.0
0,0,0,0,0,1,0,0,0,25.5,44.3,89.1
0,0,0,0,0,0,1,0,0,26.2,0.0,70.3
1,1,0,0,0,0,0,1,0,25.0,0.0,74.8
1,1,0,0,0,0,0,0,1,26.2,0.0,71.8
0,0,1,0,0,0,0,0,0,26.1,0.0,73.5
0,0,0,1,0,0,0,0,0,24.8,5.5,86.3
0,0,0,0,1,0,0,0,0,21.1,44.4,93.9
0,0,0,0,0,1,0,0,0,22.5,0.0,81.3
0,0,0,0,0,0,1,0,0,23.1,0.0,72.8
1,1,0,0,0,0,0,1,0,24.6,0.0,70.8
1,1,0,0,0,0,0,0,1,27.0,0.0,74.5
0,0,1,0,0,0,0,0,0,27.4,0.0,75.3
0,0,0,1,0,0,0,0,0,26.9,0.0,66.8
